ID,Topic,Selected Content
304,Location,"On top of that, the hotel is less than a minute away on foot from the bus station. 
  The city is nice, a lot of restaurants, bars and shops in the area. And of course lots and lots of beach shores to relax at, one of which you can get on foot for less than 5 minutes."
304,Staff,"The staff was nice, they gave me recommendations on what places to visit and how to roam around."
305,Staff,"First off, the staff. They have been so accommodating and easy to deal with and have gone above and beyond to help us out."
305,Food,all the restaurants were closed. Richard was amazing and whipped us up an excellent pizza even though they were long since closed.
306,Facility,"Good place ,"
306,Staff,"excellent stuff,"
307,Facility,"The modern, nice hotel,"
307,Location,accommodation for one night before departure.
307,Staff,The hotel arranged a taxi to the airport for 15 €
308,Staff,Wonderful people on reception and in the restaurant :) always smiling and glad to help
308,Facility,"it was soo nice and cosy, made me feel welcome from the first moment of arrival"
309,Staff,The management/husband and wife/were fantastic as were all the staff!
311,Room,"Very clean, Nice freshly decorated rooms."
311,Staff,"staff very welcoming and helpful, quick response when asking about bringing them."
311,Facility,"Pet friendly hotel, highly recommended we had no extra charge for our dogs,"
312,Facility,"the place was very clean, and everything was very clean."
312,Staff,and there’s an incredibly kind and helpful staff. they were very flexible about our strange schedule.
312,Food,food was delicious
312,Location,the airport is very close and the beach is a five minute walk away.
312,Facility,the pool is tiny
312,Room,and the bathrooms can smell like bad plumbing.
313,Staff,Super friendly staff.
313,Facility,"Nicely renovated and clean hotel, Quiet street with sufficient parking facilities."
313,Location,Quiet street with sufficient parking facilities.
313,Price,Fantastic value for money.
314,Facility,"fresh just renovated, with good wifi,"
314,Location,"in 5 minutes from airport,"
314,Check-in,super fast checkin/checkout
314,Check-out,super fast checkin/checkout
315,Room,it’s was exceptionally clean
315,Staff,and staff all very friendly
316,Location,Perfect location to McKenzie Beach and only a 30 minute walk to the central marina.
316,Staff,Everyone was very accommodating and welcoming.
316,Room,A nice addition to the very clean and tidy room is Netflix.
318,Staff,Staff were very friendly and extremely helpful.
318,Facility,"A lovely family hotel, refurbished during the main Corona period."
318,Location,In a quiet area 10 minutes from Larnaca airport. Only 6 minutes walk down to the beach & restaurants.
318,Room,"Refurbishment not totally complete, so safety box wasn’t working., so could do with one more double hook in bathroom for towels."
319,Staff,"The receptionist was waiting for me to arrive, even though it was after the usual open hours."
319,Room,"The room was very clean, a bit small though, but the bathroom was spacious and the bed was comfortable."
319,Room,"The room was very clean, a bit small though,"
321,Room,Well organised and clean
322,Facility,"Excellent everything., The place was clean, spacious and really nice."
322,Staff,"We got there early, around 10 am and they had our room ready."
322,Location,It was a pleasant walk to the sea
322,Location,but there was not much else to do close by.
322,Food,More restaurants.
323,Location,"I stayed in this hotel (twice) because of the location to the airport., It is a 10 minute walk to Makenzie Beach and those restaurants, but it also has a nice patio restaurant for a meal or cocktail."
323,Room,"But, I found it be clean, modern, comfortable, but they have nice amenities (fridge, coffee making, AC, nice balcony) and are spotless and comfortable."
323,Price,and great value for money.
323,Room,"The rooms are a bit small,"
323,Staff,The staff is nice and it's very welcoming.
324,Room,"Room was excellent, very clean and everything seems fairly new."
324,Staff,Staff was very helpful.
324,Location,"Location is also very good if you have a morning flight, airport is a 7 min drive away."
324,Room,"The noise from the hallway was very loud, the doors are not sound proofed at all and we couldn't sleep because of the noise that was coming around 11, 12, 1 AM."
326,Room,Clean and freshly renovated room
327,Location,It’s location was ideal for the purpose of our stay because it’s close to the Larnaca AirPort.
327,Staff,The host of the Hotel was so kind and helpful. Always a smile on his face with great energy and amazing hospitality making sure we had a great stay.
328,Room,"Everything was very clean, the bed was comfortable, spacious bathroom."
328,Location,The beach is very close and the bus to the airport is only 50 meters away.
328,Room,"The room was a bit cramped, but we could fit. It may have been a unique case, but a rather disturbing odor of sewage came out of the drains."
328,Location,but a rather disturbing odor of sewage came out of the drains. The smell could be felt on the street that day as well.
330,Staff,The staff was exceptional. They were really customer-centric and kind.
330,Food,The breakfast was really delicious too 😊
332,Staff,"The staff was super nice!
  We needed a taxi for the airport and they've helped us book it for a really good price (better than everything we've seen online)."
332,Room,"The room was really clean and the bed was comfortable,"
332,Room,"The wifi in the room wasn't great. We had to work that day so we needed a strong wifi,"
332,Location,but there is a Cafe Nero 10 minutes away which was perfect.
333,Food,Breakfast was exceptional
333,Room,Size of room was a bit small
334,Room,"Absolutely clean, Ultimate hygiene. Very clean ."
334,Staff,"and friendly staff., Staff and owners very friendly and helpful ."
334,Price,Very economic .
334,Location,Location is great .
335,Room,"A modern, clean, friendly"
335,Staff,friendly
335,Facility,and all you need for a great Holiday.
336,Staff,Exceptionally friendly and helpful.
336,Room,Tastefully decorated room and super comfy bed.
336,Food,Dinner and breakfast were freshly made and very tasty.
338,Staff,The family running this hotel are very friendly and welcoming! They gave us a free room upgrade.
338,Facility,The building and the hotel are brand new. Spotlessly clean.
338,Location,"Walking distance to the beach, restaurants and shops. It is away from traffic."
338,Room,Fully stocked minibar with coffee and tea-making facilities.
338,Price,Value for money.
338,Room,On the 4th floor with all the windows and balcony doors locked we could still hear some outside noise.
339,Facility,It’s definitely one of the best accommodations I’ve ever been in. Very friendly and comfortable atmosphere.
339,Room,"Everything was just good:
  Clean rooms, cleaning every day; Strong wi-fi at any time;"
339,Staff,Great staff and very pleasant hosts;
339,Food,Garnish restaurant on the ground is amazing! The owner is a very kind person and creative chef.
342,Staff,Extremely friendly people work at La Veranda! they helped us in any possible way.
343,Staff,"great friendly staff, very welcoming, the owner took me personally to our room, and gave me a prime parking spot.
  he introduced us to his daughter who was learning the trade and she was super nice and helpful.
  couldn't have been more pleased"
344,Location,Great location 5 min walk to beach
344,Staff,"And amenities , staff very good and helpful,"
344,Room,rooms were comfortable snd very clean
345,Room,Very modern and clean
346,Room,Clean
346,Staff,and good communication.
346,Taxi-issue,Booked a taxi from the airport was a no show.
347,Facility,A family run hotel.
347,Staff,Exceptional staff who were so friendly and keen to please.
347,Room,Rooms were also exceptional in their cleanliness and although compact had everything that you might need for your stay. I
347,Room,Rooms were also exceptional in their cleanliness and although compact
347,Location,Also only 10 minutes walk from beach and loads of restaurants.
348,Staff,"Staff and owners were very welcoming,"
348,Food,"breakfast was a typical Cypriot one,"
348,Facility,the inside is excellent compared to the view from outside
348,Facility,"not much parking around the property which was an apartment before being converted into this hotel, the inside is excellent compared to the view from outside"
348,Location,Aircraft noise does not bother me but the noise from aircraft landing and taking off may be an issue if you have young family or just want a quiet area
349,Staff,Very friendly and helpful staff.
349,Room,Clean rooms. Comfortable bed.
349,Location,Close to bus stop.
349,Room,Slight smell from toilet after night.
349,Location,Pretty far from major tourist spots.
350,Location,6 mins drive from the airport
350,Room,"Lovely clean room
  Comfortable bed"
350,Facility,Easy parking
350,Staff,Lovely helpful staff
351,Room,"Clean, modern room, with comfy bed and great air conditioning."
351,Location,Fab location Close to Mackenzie beach and bars.
352,Room,"Super clean, good beds."
353,Room,Very clean and comfy room with balcony
353,Facility,"Simple clear contemporary decoration, This hotel being new"
353,Location,Near the airport
353,Staff,Friendly staff.
353,Food,Healthy breakfast.
353,Room,Weak WiFi
353,Staff,"the staff , although very friendly , still needs to improve its organisation and collaboration"
353,Facility,Pool is very tiny.
353,Location,Far from centre town.
354,Staff,"Very nice staff,"
354,Room,very clean and a home-experience.
355,Location,"We’ve chosen La Veranda as we had an early flight from Larnaka airport, There is a beach strip nearby with various restaurants for every taste"
355,Food,"Breakfast in the hotel was great,"
356,Staff,"The communication prior to arriving was brilliant. The staff at the hotel were friendly, polite and nothing was too much for them. Always willing to help in anyway which made our stay enjoyable."
356,Room,Extremely clean too.
357,Staff,"Staff is friendly,"
357,Facility,hotel is comfortable and clean
358,Location,Location close to airport
361,Location,The location near Makanzie Beach6
362,Staff,"Excellent service, very kind and helpful staff,"
362,Room,the room with a balcony overlooking Makenzy and Salt Lake made an amazing impression.
362,Food,"I recommend the breakfasts, which are really delicious."
363,Staff,"The staff were exceptionally attentive to ensuring that our stay was pleasent. Hospitality was great,"
364,Location,Loads of bars and restaurants 5 mins walk away on the beach.
364,Staff,Really friendly and accomodating hosts.
365,Check-in,We arrived in the night and were checked-in quickly
365,Facility,"The hotel had been just renovated, very convenient for our short stay in Larnaka."
366,Food,"Especially,the chef of La Vernada Hotel is perfest,he made delicious breakfast,lunch and dinner and his food is better than a 5star hotel. and the prices of the food are very good and are not expensive.Absolutely fantastic hotel with an excellent chef that make this hotel perfect."
366,Price,"Moreover,the price of his hotel and the prices of the food are very good and are not expensive."
367,Staff,Friendly Staff.
367,Room,Nice room with comfortable beds and nice bathroom.
367,Location,Good choice for travelers in larnaca
368,Room,Clean
368,Location,and perfect location.
369,Food,The food was amazing at the restaurant
369,Room,Mostly the bathroom floor sink was closed with tapes and there was bugs under it.
370,Room,"Extremely clean, newly renovated, efficiently run,"
370,Location,good location from the airport and sea.
371,Staff,People working here are the best ever
373,Location,I stayed for a couple of nights so that I could quickly get to the airport.
373,Facility,"Cozy, clean hotel, Nice place,"
373,Staff,with wonderful staff.
373,Food,"Can also enjoy delicious breakfast, if desired."
374,Location,Location is great.
374,Room,"Rooms were a great size, very clean, modern and comfy."
374,Facility,Pool could of been bigger
375,Food,The food he creates is outstanding and delicious. Even the simplest of food ie. chicken burger and salad was made to taste exceptional. Richard cooks from the heart.
375,Facility,"Overall the hotel is well situated,"
375,Room,the rooms are stylish and the beds very comfortable.
375,Staff,The staff are helpful and friendly.
376,Facility,"It was very clean, very comfortable easily a 5 star hotel. Very welcoming,"
376,Location,5 minute walk to the beach.
376,Food,"The chef is incredible and very friendly, the kind of person who loves nothing more than you enjoying his food!"
377,Staff,Staff very polite and helpful.
377,Room,Rooms are clean.
377,Food,Breakfast was delicious.
377,Location,"Hotel is near to the beach, airport and bus station."
378,Staff,The staff was very friendly.
378,Room,The room was very clean and comfortable.
378,Food,The food was delicious.
379,Staff,"were pleased by staff, Hotel administrator helped us with taxi."
379,Food,and got early breakfast as well as had nice evening in bar.
379,Room,"Clean rooms, comfortable beds -"
380,Staff,Very nice and helpful staff able to go an extra mile for your satisfaction. I was very satisfied with their service
380,Location,"This hotel has great location, because it is very close to the airport, beaches and entertainment."
380,Room,"Rooms vere very spacy, quiet, tidy with a modern design."
380,Food,Breakfasts were tasty!
380,Food,More options for breakfast.
381,Location,"great location,walking distance to the beach and close to the airport."
381,Facility,interior was clearly recently renovated.
381,Staff,staff was very friendly
383,Staff,Very friendly and helpful staff.
383,Facility,Clean facilities.
383,Food,Good breakfast
384,Facility,"Amazing hotel,"
384,Room,"new, clean,"
384,Staff,staff & management are great
385,Staff,Excellent service.
388,Staff,Very friendly and effective employees and owners.
388,Facility,Brand new fittings and furniture.
388,Location,Excellent location near the airport and the beach.
388,Room,Very clean and quite.
389,Location,"Great location! Convenient to the airport and the beach. 5 minutes away from the airport and within walking distance to the beach, restaurants, and other amenities this is the place for you"
389,Staff,Professional and friendly staff.
389,Facility,"If you are looking to an affordable, clean hotel this is the place for you"
390,Staff,Very good service
391,Facility,it is recently renovated building
391,Room,therefore the rooms were nice and clean.
391,Location,Mackenzie Beach promenade is 5 min walk.
391,Location,close surroundings are not that exciting and clean
392,Location,"Nice location,"
392,Room,"excellent rooms,"
392,Staff,very friendly staff!
393,Room,"Very clean & modern,"
393,Staff,good customer service
393,Food,and restaurant/bar very reasonably priced and quality
394,Check-in,Check in was quick and easy
394,Staff,"Check in was quick and easy by polite, friendly hotel managers."
394,Food,Great service by Richard (bar manager).
394,Room,"Rooms very clean, good quality bed linen and towels, A/C, flat screen tv."
394,Location,"Located 7 minutes walk from beach, restaurants and supermarket. Airport 10 mins by taxi. Larnaca centre 10 mins by bus or about 30 mins walking."
396,Room,"Very clean, nice renovated rooms,"
396,Staff,staff was fantastic
396,Price,and price was great
396,Facility,"Need some renovation in lobby and common areas, as well as for the elevator.
  During night lights in common areas didn't work well."
398,Room,"Very modern and clean. Netflix in room an unexpected surprise, No views"
398,Room,"Netflix in room an unexpected surprise, but beware, difficult to sign back out of your account!, No views, Room small. But I had the smallest I think."
398,Location,but a short walk to nice beach bars. Close to airport.
399,Staff,Amazing staff. I met the owners at the reception and they took care of my girl
399,Room,and the room was clean and ready by 12 to check in.
399,Check-in,and the room was clean and ready by 12 to check in.
401,Room,The room was fresh and clean.
401,Staff,Friendly staff.
402,Location,near Mackenzie Beach just 2 min walk.
402,Staff,"The staff is superb,"
402,Room,clean and spacious rooms.
404,Room,A bit small rooms
407,Room,"Nice modern bedroom,"
407,Food,nice greek breakfast
407,Location,"and hotel great location,"
409,Facility,This hotel was excellent and exceeded all my expectations.
409,Food,"The restaurant had delicious food, the service was incredible,"
409,Room,rooms were to a very high standard and clean.
409,Staff,"I am very pleased to stay here and grateful for the staff, they have been helpful, kind and professional."
410,Location,"The location is amazing. Being close to the airport in Larnaka makes travelling easier. Also being right next to the Salt Lake is a must-see especially if there is a good sunset. 
  Within a 10 minute walk you can be on MacKenzie beach which is well maintained and cleaner than other beaches we seen in Larnaka. The hotel is next to a bus stop for travelling between downtown and other locations. Very handy since we didn’t hire a car."
410,Staff,"The staff make this hotel great. They are friendly, warm, helpful. Always willing to do more to make the guest have a better stay."
410,Room,"The recently renovated room is about as clean as it could be. The facilities are modern and new. The shower is amazing for couples to use together. The balcony is a nice addition to an already fresh, well presented room. 
  The double bed is extremely comfortable and the new bedding was a delight. It is hard to get a comfortable sheet to sleep with in a country as warm as Cyprus but we were happy with everything offered by the hotel. 
  The minibar was extremely reasonably priced and well stocked. 
  Aircon perfect, easy to use. 
  Wifi great when we used it."
410,Facility,The front of the hotel is an extremely nice place to unwind in the evening.
410,Room,Minor point: a bar for hanging clothes in the room was the only thing we felt was missing to improve our stay.
412,Room,"Superbly refurbished, with high-tech displays “clean/DnD” outside."
412,Facility,Taller people be careful of doorway leading to elevator - being 190 i head-bumped…
414,Staff,"Great staff,"
414,Room,"very clean and modern rooms,"
414,Price,great value
416,Staff,The staff and hosts were great!
416,Facility,Quiet place! Pet friendly!
416,Price,Value for money!
417,Location,Close to airport - just 7-10 min by taxi (15€).
417,Room,"Clean, fresh rooms with all you need for overnight stay."
417,Staff,Very friendly staff.
419,Staff,"Very friendly and helpful staff,"
419,Room,"comfortable rooms,"
419,Location,great location.
420,Location,A LITTLE BIT FAR FROM SEA
421,Location,"steps to Makenzy beach, cafés, and restaurants. Easy access to nightlife."
421,Facility,The building is very clean and made for a comfortable stay.
421,Staff,The staff made me feel welcome and was very helpful when asking about things to do.
422,Facility,"This hotel is very new and completely renovated. It’s spotless clean, comfortable. Free parking,"
422,Staff,and very good service from the family that owns it. We felt very welcome.
422,Room,he room is completely new and very clean. The mini bar was really well equipped and very cheap.
422,Location,close to the city and very accessible by any transportation.
423,Staff,Staff was amazing and very welcoming.
423,Room,Rooms are so clean and comfortable with variety of snacks at very affordable price.
423,Location,Walking distance from the beach and very easy access to public transportation
424,Room,Family room that fits a family of five.
424,Food,Fantastic breakfast.
424,Location,Close to jogging trails along the lake and close to the airport.
424,Staff,Plus a super friendly staff.
425,Room,The room sizes were excellent for the wheelchair.
425,Facility,"The hotel was airy and light.
  The hotel was nice and very clean."
425,Location,It was great accessibility to where we wanted to be.
425,Food,The breakfast could have had more variety. They had no cereal on offer at all. They had no ordinary tea on offer. It was al Earl Grey. No proper plan tea.
425,Facility,This hotel is accessible to wheelchairs but there ramps are not to EU regulations. VERY STEEP. They really need to sort this. The ramp right outside is very dangerous. I am surprised I wasn't wheeled of this ramp.
426,Room,comfortable bed lovely soft duvet and pillows.good shower
426,Location,2 times noise in week 4 a.m from people picking rubbish into large lorries .
427,Room,spotlessly clean
427,Staff,and the staff were so helpful.
427,Location,it was not on the beach front as we were under the impression it was.
428,Room,very clean
428,Room,not enough pillows
429,Location,Quiet location.
429,Room,Bed was very soft and uncomfortable for me.
429,Facility,Parking was very limited.
430,Room,"Windows should be closed, as the front building looks right into your room."
431,Room,The room was large and had a nice balcony.
431,Location,The bus stop into town was around the corner.
431,Location,There was nothing close by for a mini Mart.
431,Food,The restaurant was decent.
432,Room,Clean and comfortable. Cute balconies.
432,Location,Short walk to Mckenzie beach.
432,Facility,Street parking.
433,Staff,"I really liked how polite and friendly the staff was,"
433,Room,I also liked the size of the room an the bed
433,Room,"- the shower of our room is very inconviniently placed, making a mess because of insufficient coverage of the bathroom glass
  - the edges of the shower (between wall tiles and the shower floor) need replacement - they are hollow and seem moldy
  - the bin is rusty
  - the mirror is weirdly placed, on the right of the sink
  - due to the placement of the curtains, a lot of light gets in the room in the morning"
433,Facility,"there is no designated parking, you just park wherever you find"
433,Staff,"- we have requested late check out (1pm) which we got and we appreciate it. However, we got a call that prompted us to check out at the normal time (12pm) as the next customers would arrive. I exllained thay we have been granted late check out and the clerk apologised. No problem for this, but I find it important to keep staff updated about these things."
434,Location,Near to the airport
434,Room,There was some kind of unpleasant smell in the bathroom
435,Location,close to the airports
435,Price,this is a guesthouse that is priced like a hotel
436,Staff,Maria and Richard are really great hosts! Very kind and hospitable. Maria has offered an adapter immediately.
436,Room,The room was perfectly clean.
436,Location,"This is a good transitioning for one night, like I had. Or just to sleep over.
  Central location."
436,Room,"Size of the room is one of the smallest I have ever seen. There is no space for the suitcase nor a wardrobe. No sitting area.
  There is a terrace which Sun hits all the time,"
436,Price,For that money for which I used to pay better hotels in Valencia you get one small water bottle.
437,Room,"It was clean, the beds were comfortable."
437,Price,For what you get it was a bit expensive.
437,Room,The rooms were a bit small for a suite.
437,Food,No breakfast included. We tried it one time at their restaurant and it was low quality compared to an original greek breakfast.
438,Staff,Very friendly people.
438,Room,Very spacious and clean room.
438,Location,Very close to the Larnaka airport as we needed it to be.
438,Room,"The duvet was for the winter and even with 23 degrees Celsius on the a/c it was unbearable!
  No simple sheets on the bed either...we could not open the windows because it was very very noisy. 
  Also the windows had no soundproofing whatsoever because the noise was too much!! Also the room had a hair dryer and a kettle that we could not use because the plugs did not fit the sockets and the hotel didn't provide adaptors...So no use of that service in the room either!"
439,Location,Usefully located hotel in between city centre and airport.
439,Food,Restaurant stayed open reasonably late so I could eat after an evening arrival in Cyprus.
439,Food,Restaurant was offering a rather narrow set of choices compared to what was listed on the menu.
439,Room,Room quite small.
440,Staff,Friendly Staff!
440,Room,Very modern rooms
440,Room,"Bath room was cleaned rather superficially, so that medium nice with hair not being removed."
441,Food,"Break fast was PERFECT,"
441,Room,the room was PERFECT.
441,Facility,Some issues with internet
441,Location,"Some issues with internet and location, bit far from the center,"
441,Location,but very quite Area around.
441,Room,Cold floor in the room :-)
442,Food,Breakfast was very filling. It was located on the table in front of us (funny question).
442,Room,Room was a little cold.
442,Facility,The hotel hadn’t yet opened up for the season.
442,Location,It was a little hard to find.
443,Room,"clean room,"
443,Staff,friendly staff
443,Facility,"off season, so no bar / restaurant/ pool, which was not clear on booking."
444,Room,nice and very clean.
444,Staff,that they couldn’t wait for 15min as i had just fractured my ankle and need to change my bandage and the Lady of the house was literally standing next to the door with a cleaner to clean the room. so i left without changing my bandage and had to do it outside on the street.
445,Facility,Nice clean little hotel
445,Location,next to the airport
445,Food,Breakfast was below average
447,Staff,the staff were lovely
447,Room,The bed and pillows were very uncomfortable and the telly was not working properly
448,Room,Clean room. comfortable bed
448,Location,Good location for makenzie beach.
448,Staff,Staff was excellent
448,Room,"Complimentary coffee/tea in our bedroom was not replenished after the first night. Only one coffee sachet for a double room. 
  Whatever was used from the fridge was also not replenished.
  There were no thin curtains to allow for some light to come through into the bedroom; and so you had to draw the thick curtains if you wanted privacy."
449,Location,Close to the airport
449,Staff,We booked a taxi at 04:30 in the morning to go to the airport. Very frustrating that the host didnt inform us that his taxi had a double Booking instead of ordening another for us.
450,Staff,Friendly and Helpful Staff.
450,Room,Room Cleanliness
451,Location,Property is perfectly located close from the airport and close to the famous Makenzie Beach.
451,Facility,Neat and modern hotel facility.
451,Facility,"Property feels cold without an warm inviting atmosphere, as it’s to minimalistic."
451,Room,Rooms are a nice size but is unfortunately situated on top of the outside bar area. Twin beds are provided and the pillows is not comfortable at all. The shower in the bathroom is open in-front which results in the whole floor being wet. Property have a great potential with some care.
453,Location,close to mackenzie beach
453,Room,"Safe didn’t work, back door balcony in other bedroom wouldn’t lock, do not disturb sign didn’t work (electronic), very noisy guests."
453,Staff,asked for double bed and got two single beds next to eachother
453,Check-in,"Waited 10 minutes for someone to come greet us for check in, no one on desk 
  Guy on desk told us we had not paid but we did 
  then he took a picture of my passport which no hotel does at all which was very strange ?????"
454,Location,Very noisy neighborhood
455,Room,It’s clean. The pictures of the room are accurate
455,Location,"The location was not great, It’s in front of a pension and so close that people could see the colour of my underwear."
455,Facility,"the pool not even to be considered, the overall hotel installation is badly maintained. It’s in front of a pension. The lift broke. The pictures of the room are accurate but fot the hotel installation and pool have a look to ‘Pasithea Apartments’"
455,Room,"The aircon was too strong so we’d opened the windows, big mistake! Very noisy (I’ve asked quiet room)."
455,Staff,the guy was offended becawe asked to see the room before paying….
456,Food,-No free breakfast option.
456,Room,"They need to put a lock to the bathroom and a shower glass door inside or else it gets messy.
  -wifi is not good"
456,Location,"Location is good. Convenient by taxi to city Center,airport and beach."
456,Room,rooms are very well maintained.
456,Food,-The sandwiches and hummus by the chef were delicious.
456,Staff,Mrs Tony does a fabulous job keeping the place spotless and making the guests comfortable. The helps are amazing too. Thanks to all at the hotel who work hard to keep it in good condition.
456,Staff,However when I booked this property in advance it was a higher price but booking.com reduced the price before my travel date and the hotel refused to accept the lower price which I felt was unfair for me as they charged twice for cancellation and rebooking. Maybe this was a booking.com issue or the hotel but I was quite unhappy about this since it was not justified by the owner. I spoke to Ali from booking.com and he said there was no cancellation charge but they charged me
456,Booking-issue,However when I booked this property in advance it was a higher price but booking.com reduced the price before my travel date and the hotel refused to accept the lower price which I felt was unfair for me as they charged twice for cancellation and rebooking. Maybe this was a booking.com issue or the hotel but I was quite unhappy about this since it was not justified by the owner. I spoke to Ali from booking.com and he said there was no cancellation charge but they charged me
457,Location,I like the quietness and it’s close to airport
457,Room,The way room are furnished is not comfortable
458,Facility,facilities are limited.
458,Room,"Noisy. Probably renovation work was in progress so, some items were not ready. Example, there is no rod for hangers in the wardrobe, the safe wasn’t fixed."
458,Food,Limited food options
459,Room,"Very comfortable bed, room very new and comfortable."
459,Room,"TV did not work,"
459,Location,garbage truck passes at 3 a.m with an incredible noise.
460,Location,Location was excellent
460,Staff,and staff was very polite.
460,Room,Room was very clean upon arrival
460,Price,Rate was very expensive for what it offered.
460,Room,"No cleaning service the 4 days I stayed, no emptying garbage can and also had to ask for fresh towels. There were not even hangers for clothes in the closet"
461,Staff,The people working there were kind and responsive. I feel bad writing a negative review because they were kind
461,Room,Our plumbing had complications twice.
461,Staff,"Moreover, the cleaning crew cleaned out our rooms and threw out a box of cookies next to our bags that was meant to be a gift. These cookies are only made in Thessaloniki and cost us 25 euros. When we asked if they had seem them, the owners brought them out of the trash room and offered to spray them as if that would be acceptable for an edible gift during COVID pandemic cautions. It was nice that they tried, but they should be refunding us for the cookies we lost. I feel bad writing a negative review because they were kind; however, only things near the garbage should be thrown out. Not stuff next to guests' belongings. I was extremely disappointed in how they dealt with the situation, and that they thought it was acceptable to take an edible gift out of a trash room and continue as if nothing happened."
462,Location,"excellent location,"
462,Room,clean and modern.
463,Room,cleanliness
464,Room,"The room was nice and clean, the two beds were set up as we requested"
464,Room,There wasn’t a fan in the bathroom so opening the window was required
465,Room,"Room fresh, clean and modern. Same as shown in photos."
465,Location,"Calm area, close to the beach, many restaurants and coffee shops there. 
  Bus station very close."
465,Food,Breakfast above expectations.
466,Location,"Hotel is very close to the airport, nice place to stay if you arrive late at night."
467,Staff,Liked the happy and smiling welcome that greets you once you arrive at the property.
468,Staff,"Nice staff,"
468,Room,room very nice and clean.
468,Facility,Swimming pool could be cleaner.
469,Staff,Very helpful and knowledgeable staff.
469,Room,Rooms are updated and clean.
470,Room,Nice and clean.
470,Staff,Owners very nice and friendly.
471,Room,"Very clean, modern rooms, comfortable bed and good shower."
471,Staff,Very helpful staff.
471,Price,Exceptional value for money
471,Location,and very close to beach.
471,Location,Maybe a little way from main town
472,Facility,Very friendly atmosphere. A family business where you feel like at home. The hotel is very comfortable.
472,Food,Huge and delicious breakfast.
473,Staff,Friendly staff and service.
473,Room,Very nice rooms. Clean.
474,Room,"Clean, smart devices."
474,Price,"Overpriced for its facilities,"
474,Facility,if you're lucky you may have the only one parking in the side.
474,Food,Very poor lunch (breakfast)
475,Room,"The floor is not cleaned enough, full of dust, water does not drain and floods the room"
477,Staff,Very kind staff.
477,Food,"Delicious food,"
477,Room,impeccable cleanliness.
478,Staff,"The kindness of the staff,"
478,Room,the cleanliness of the room.
480,Staff,French speaking and competent staff.
481,Facility,The cleanest place I stayed in Cyprus!
481,Staff,The staff is kind and welcoming.
482,Facility,"pleasant accommodation,"
482,Staff,"helpful reception,"
482,Room,cleanliness
482,Room,the rooms were not soundproofed enough
483,Staff,The staff are extremely friendly and always happy to help when needed. They were always ready to answer any of our questions.
483,Location,"In a very good location, close to the airport, especially if you have an early or late flight, and also close to the beach."
483,Room,"The main reason for not giving the highest rating is the noise. From the neighboring hotels/houses, they showered at any time of the day and made unpleasant noise. There were problems with the sealing and closing of the window."
484,Room,"Nice room, very clean."
484,Location,Convenient because close to the airport.
484,Staff,Very kind and helpful staff.
484,Food,"We had dinner in the evening, it was very good."
484,Location,Just a bit far from town
484,Room,Room a bit small
486,Room,"The room was very clean and very spacious.
  The mattresses and pillows were excellent."
486,Room,The only thing that was slightly flawed was the water in the shower in the evening which was lukewarm
489,Room,nice and comfortable small room.
489,Facility,Early November: good availability of free parking spaces at the bottom of the hotel.
489,Location,"The beach is 10 minutes walk, the airport 10 minutes by bus."
489,Staff,Friendly staff and very good advice
490,Location,Proximity to the airport
490,Food,and excellent cuisine
491,Room,"Practical rooms, balconies in each room."
491,Location,good location for the airport.
491,Staff,Listening staff.
491,Room,The noise. The rooms are poorly soundproofed. We hear the neighbors moving.
492,Location,"Hotel near the airport, ideal for a late arrival or a very early departure"
492,Room,"bed duvet much too thick, we suffocate underneath! Very hard bed. Noisy, due to the heavy use of tiling"
492,Location,"Noisy, due to the heavy use of tiling and the steady stream of travelers arriving/departing for the airport throughout the night."
493,Room,"nice, clean and neat."
493,Staff,super sweet hosts
494,Facility,Very clean hotel
494,Staff,Very kind staff
494,Location,Very close to the airport
496,Location,"Great location close to the airport,"
496,Staff,friendly service
496,Food,and delicious breakfasts.
497,Facility,Perfect hotel.
497,Staff,"welcoming and helpful staff. and I thank Tony for his welcome and his smile, it's so rare."
497,Room,the room was spacious.and clean.
497,Food,the restaurant is very varied.
497,Location,as well as the location close to the airport and the beach as well as many restaurants and snacks.
498,Staff,"Great welcome, very pleasant contact, very helpful"
498,Location,Access to the airport is close
498,Location,"Access to the airport is close but not so easy with the bus, when you do not know"
499,Location,The hotel is located close to Larnaca airport.
499,Staff,"Very helpful staff,"
499,Room,"the room had everything you need, and also the bathroom. Clean and cozy."
500,Facility,"The accommodation itself is very good., and on the other hand, if you go by car, even though there is an open-air car park very close,"
500,Location,It is very central.
500,Location,The problem is finding it. It is located in an alley and google maps went crazy. Now I understand why they sent me a photo of how to locate the street.
500,Room,but the guests in the upper apartment didn't stop making noise at 3am
500,Facility,"and on the other hand, if you go by car, even though there is an open-air car park very close, it's a real odyssey to be able to park. We had to leave the car far away."
501,Facility,The hotel is very clean
501,Location,and close to the airport.
501,Room,"Simple and comfortable rooms, you can see that there is care in the place."
501,Food,"The restaurant in the hotel lobby is good,"
501,Food,although it took a relatively long time for our food to be ready.
502,Facility,It's a clean and good hotel
502,Staff,and the service is also great
503,Location,"Close to the field,"
503,Staff,"the staff is nice,"
503,Room,"the room is restful and pleasant, clean and renovated, The bed is comfortable and so is the shower"
503,Location,"The environment is a bit unfriendly for walking, there is a lot of construction and the roads are bumpy"
504,Facility,Everything is a perfect boutique hotel
