ID,Topic,Selected Content
257,Staff,Lovely staff
259,Location,excellent location near airport then easy drive into larnaca.
259,Staff,very friendly and helpful staff.
259,Room,only thing was the bathroom floor got wet from the shower and became very slippery. needs two foot towels rather than just one.
260,Staff,"Friendly staff,"
260,Food,delicious breakfast.
260,Room,Very comfortable beds.
260,Location,10 mins walk to Mackenzie Beach and 40 mins (3 km) walk to downtown on a nice promenade.
262,Room,"Clean, We slept well in a comfy clean bed"
262,Staff,"great attentive staff, The staff could not be more helpful and showed us to a really nice room with a balcony over the front of the hotel, before they arranged a car for us to get back to the airport to collect our hire car."
262,Location,The hotel was close to the airport - 6 minutes by taxi (€20) - and we arrived late.
262,Food,and had a terrific breakfast on the terrace
262,Off,"location.
  We booked the hotel to facilitate a stop over due to a late flight into Larnaca before travelling onto our holiday villa. What a pleasant surprise, Nice start to our holiday highly recommenced, Nothing"
263,Room,room was big enough with comfy beds for family of four; liked having a small balcony for outdoor space.
264,Staff,Friendly staff.
264,Room,clean and comfortable beds.
266,Room,it’s clean
266,Staff,and very nice crew
267,Staff,Helpful staff arranged a taxi for us from the airport to the hotel.
267,Facility,The hotel was basic but clean and comfortable.
268,Facility,La Veranda has been recently refurbished
268,Room,"and the rooms and bathroom, were both modern and comfortable, balcony with sea view."
268,Location,Easy walk to Mackenzie Beach and short journey from airport.
268,Food,"Good breakfast available if required,"
268,Staff,staff extremely helpful and friendly.
268,Off,"Nothing to much trouble, Nothing really."
270,Facility,It was easy at the time to park car outside.
270,Room,"Clean rooms,"
270,Staff,helpful staff.
271,Location,Location very convenient. Near the beach and the Restaurants. Public Bus station at 30 meters from the hotel. Also very close to the airport.
272,Facility,La Veranda Hotel is very comfortable and clean.
272,Staff,The staff is very nice
272,Food,The Breakfast is so delicious
272,Location,Great location !! Near Mackenzie beach and very close to the center.
272,Off,"I highly recommend, Nothing. All was great"
273,Off,"It's my second time at La Veranda and I can honestly say that this is one of the best hotels in the region, if not the best. Would definitely recommend it!"
274,Off,"I had a wonderful experience at the La Veranda Hotel., Thank you! Will recommend to my colleagues!"
274,Staff,"Every staff member I encountered, from the valet to the check- in to the cleaning staff were delightful and eager to help!"
275,Room,"The rooms were clean, very comfortable,"
275,Staff,and the staff was amazing. They went over and beyond to help make my stay enjoyable.
275,Off,I highly recommend this hotel for anyone visiting downtown!!
277,Staff,"The staff is always very helpful, exceptional!"
277,Room,"Wanted to have in the shower shampoo, body soap and hair conditioner. The staff explained that the dispancer in the shower holds 3 in 1. Really?!"
278,Staff,"The staff were wonderful, so friendly and welcoming"
278,Food,and the food was superb.
278,Facility,The hotel was clean
278,Location,and easy for the airport.
279,Facility,The hotel is in a residential neighborhood of apartments and is modern.
279,Room,The bed linens were wonderful and the mattress was neither too hard or soft.
279,Food,Breakfast is not included in the hotel cost. (no menu - you get whatever is served).
279,Food,"However, there is small restaurant within the hotel lobby that charged $10 euros for a very nice hot breakfast"
279,Location,The hotel is in a residential neighborhood of apartments and is modern. The hotel is approx 10 minute drive from the airport and 20 minute drive from the historical area.
281,Location,This hotel is in a great location for the airport and restaurants.
281,Staff,"The owner and staff are so welcoming and helpful. Taking time to print off flight documentation, booking taxis and even when my flight was cancelled, I was able to keep my room for longer without a problem."
282,Facility,"Very nice hotel,"
282,Location,"close to the beach, but situated in a quiet place"
282,Staff,"Helpful, friendly staff."
282,Food,Tasty breakfast.
284,Facility,"La Veranda was very clean, and was flexible with our schedule."
284,Room,"provided everything needed (even a bottle of water in the room!),"
284,Staff,The staff was excellent.
284,Location,"There are a series of delicious and fun restaurants on the beach quite close to the hotel, which the staff of the hotel kindly told us about."
284,Room,The view from the rooms
285,Facility,Clean and nice place
285,Room,It takes too long hot water to reach tap/shower in the room
286,Location,Very convenient location for arriving at the airport.
287,Room,"Very clean, nice bed and linen."
287,Price,Good value.
287,Facility,Allowed to take dog was the reason for booking.
287,Room,Some smell from bathroom/water.
288,Facility,Boutique hotel
288,Location,"Boutique hotel in the quiet area, Only few kilometers from the airport but quite distant from the city center. On the other hand - close to salt lake to have opportunity to watch flamings."
288,Location,but quite distant from the city center.
288,Staff,Staff was friendly and helpful
288,Food,"Good, tasty breakfest."
291,Staff,Friendly staff
291,Room,Very clean and cozy
291,Location,Close to the airport
294,Room,clean basic
294,Off,it was ok
296,Room,TV CHANNELS TO BE FIXED :)
297,Facility,recently refurbished and very clean!
297,Room,recently refurbished and very clean!
298,Location,location is good you can take bus 425 from the airport to somewhere close enough to the hotel.
298,Staff,stuff were super nice!
298,Room,"room is spacious and clean, bed is comfy too."
299,Off,I had a great experience staying at La Veranda hotel right from start till the end.
299,Staff,"The staff was very welcoming and friendly,"
299,Room,"the room is just as in the pictures; newly renovated, fully functional and most importantly comfortable and clean."
299,Location,"The hotel's location is convenient. Very easy to catch public transportations, many café around and close to the center."
300,Off,"My stay at this hotel was a great experience and would definitely come back with my family, Highly recommended!"
300,Staff,"The staff was so helpful, friendly and welcoming. My one night stay felt like home!"
300,Location,"Great location very close to the airport, 1 minute walk to the bus station, beach and restaurants."
300,Room,"The room was very clean and spacious. The mini bar was rich and very well priced,"
300,Food,even breakfast was presentable and tasty!
300,Facility,It was cold for a swim:)
301,Facility,"Christmas vibes, nice ambiance."
301,Staff,Staff make you feel at home.
301,Location,Quiet area.
301,Off,everything was perfect. definitely will come back.
302,Room,It was very clean.
303,Staff,"Very welcoming couple, helpful, and happy to help for any situation or question."
303,Off,"I managed to remote work from the room and balcony, that was pleasant.
  Would definitely come again!"
304,Room,"What i liked most about the hotel is the room, bed sheets and toilet are super clean. Bed is very comfortable."
304,Location,"On top of that, the hotel is less than a minute away on foot from the bus station. 
  The city is nice, a lot of restaurants, bars and shops in the area. And of course lots and lots of beach shores to relax at, one of which you can get on foot for less than 5 minutes."
304,Staff,"The staff was nice, they gave me recommendations on what places to visit and how to roam around."
304,Off,The weather was a bit cold.
305,Staff,"First off, the staff. They have been so accommodating and easy to deal with and have gone above and beyond to help us out."
305,Food,all the restaurants were closed. Richard was amazing and whipped us up an excellent pizza even though they were long since closed.
305,Off,"We had a delayed flight that landed hours late and when we arrived,"
306,Facility,"Good place ,"
306,Staff,"excellent stuff,"
306,Off,we will come back
307,Facility,"The modern, nice hotel,"
307,Location,accommodation for one night before departure.
307,Staff,The hotel arranged a taxi to the airport for 15 €
308,Staff,Wonderful people on reception and in the restaurant :) always smiling and glad to help
308,Facility,"it was soo nice and cosy, made me feel welcome from the first moment of arrival"
308,Off,Nothing :)
309,Staff,The management/husband and wife/were fantastic as were all the staff!
311,Room,"Very clean, Nice freshly decorated rooms."
311,Staff,"staff very welcoming and helpful, quick response when asking about bringing them."
311,Facility,"Pet friendly hotel, highly recommended we had no extra charge for our dogs,"
311,Off,Nothing.
312,Facility,"the place was very clean, and everything was very clean."
312,Staff,and there’s an incredibly kind and helpful staff. they were very flexible about our strange schedule.
312,Food,food was delicious
312,Location,the airport is very close and the beach is a five minute walk away.
312,Facility,the pool is tiny
312,Room,and the bathrooms can smell like bad plumbing.
313,Staff,Super friendly staff.
313,Facility,"Nicely renovated and clean hotel, Quiet street with sufficient parking facilities."
313,Location,Quiet street with sufficient parking facilities.
313,Price,Fantastic value for money.
314,Facility,"fresh just renovated, with good wifi,"
314,Location,"in 5 minutes from airport,"
314,Check-in,super fast checkin/checkout
314,Check-out,super fast checkin/checkout
315,Room,it’s was exceptionally clean
315,Staff,and staff all very friendly
316,Location,Perfect location to McKenzie Beach and only a 30 minute walk to the central marina.
316,Staff,Everyone was very accommodating and welcoming.
316,Room,A nice addition to the very clean and tidy room is Netflix.
316,Off,"I have no reason to complain, everything was great!"
317,Off,"Did not have breakfast. Left too early., Nothing"
318,Staff,Staff were very friendly and extremely helpful.
318,Facility,"A lovely family hotel, refurbished during the main Corona period."
318,Location,In a quiet area 10 minutes from Larnaca airport. Only 6 minutes walk down to the beach & restaurants.
318,Room,"Refurbishment not totally complete, so safety box wasn’t working., so could do with one more double hook in bathroom for towels."
318,Off,"Our room was a family suite (for 4 people),"
319,Off,I stayed for one night as I arrived late at night at Larnaca Airport and was going to another city (Limassol) the next day.
319,Staff,"The receptionist was waiting for me to arrive, even though it was after the usual open hours."
319,Room,"The room was very clean, a bit small though, but the bathroom was spacious and the bed was comfortable."
319,Room,"The room was very clean, a bit small though,"
320,Off,"location, room"
321,Room,Well organised and clean
322,Facility,"Excellent everything., The place was clean, spacious and really nice."
322,Staff,"We got there early, around 10 am and they had our room ready."
322,Location,It was a pleasant walk to the sea
322,Location,but there was not much else to do close by.
322,Food,More restaurants.
323,Location,"I stayed in this hotel (twice) because of the location to the airport., It is a 10 minute walk to Makenzie Beach and those restaurants, but it also has a nice patio restaurant for a meal or cocktail."
323,Room,"But, I found it be clean, modern, comfortable, but they have nice amenities (fridge, coffee making, AC, nice balcony) and are spotless and comfortable."
323,Price,and great value for money.
323,Room,"The rooms are a bit small,"
323,Staff,The staff is nice and it's very welcoming.
323,Off,location - if you want to be in the center of everything (I didn't)
324,Room,"Room was excellent, very clean and everything seems fairly new."
324,Staff,Staff was very helpful.
324,Location,"Location is also very good if you have a morning flight, airport is a 7 min drive away."
324,Room,"The noise from the hallway was very loud, the doors are not sound proofed at all and we couldn't sleep because of the noise that was coming around 11, 12, 1 AM."
326,Room,Clean and freshly renovated room
327,Off,This Hotel was perfect for us because we arrived late at night with the intention to get some rest before we continued our journey. I would rate him 10/10 for sure!
327,Location,It’s location was ideal for the purpose of our stay because it’s close to the Larnaca AirPort.
327,Staff,The host of the Hotel was so kind and helpful. Always a smile on his face with great energy and amazing hospitality making sure we had a great stay.
328,Room,"Everything was very clean, the bed was comfortable, spacious bathroom."
328,Location,The beach is very close and the bus to the airport is only 50 meters away.
328,Room,"The room was a bit cramped, but we could fit. It may have been a unique case, but a rather disturbing odor of sewage came out of the drains."
328,Location,but a rather disturbing odor of sewage came out of the drains. The smell could be felt on the street that day as well.
330,Staff,The staff was exceptional. They were really customer-centric and kind.
330,Food,The breakfast was really delicious too 😊
330,Off,Nothing. It was perfect
332,Staff,"The staff was super nice!
  We needed a taxi for the airport and they've helped us book it for a really good price (better than everything we've seen online)."
332,Room,"The room was really clean and the bed was comfortable,"
332,Room,"The wifi in the room wasn't great. We had to work that day so we needed a strong wifi,"
332,Location,but there is a Cafe Nero 10 minutes away which was perfect.
333,Food,Breakfast was exceptional
333,Room,Size of room was a bit small
334,Room,"Absolutely clean, Ultimate hygiene. Very clean ."
334,Staff,"and friendly staff., Staff and owners very friendly and helpful ."
334,Price,Very economic .
334,Location,Location is great .
334,Off,"Definitely a place to come again if came to larnaca, Nothing"
335,Room,"A modern, clean, friendly"
335,Staff,friendly
335,Facility,and all you need for a great Holiday.
336,Staff,Exceptionally friendly and helpful.
336,Room,Tastefully decorated room and super comfy bed.
336,Food,Dinner and breakfast were freshly made and very tasty.
336,Off,Couldn’t fault it at all
338,Staff,The family running this hotel are very friendly and welcoming! They gave us a free room upgrade.
338,Facility,The building and the hotel are brand new. Spotlessly clean.
338,Location,"Walking distance to the beach, restaurants and shops. It is away from traffic."
338,Room,Fully stocked minibar with coffee and tea-making facilities.
338,Price,Value for money.
338,Room,On the 4th floor with all the windows and balcony doors locked we could still hear some outside noise.
338,Off,"We will stay again! Tip: If you like sleeping in the dark, bring a sleeping mask and/or some blu tack to secure the curtains in place.,"
339,Facility,It’s definitely one of the best accommodations I’ve ever been in. Very friendly and comfortable atmosphere.
339,Room,"Everything was just good:
  Clean rooms, cleaning every day; Strong wi-fi at any time;"
339,Staff,Great staff and very pleasant hosts;
339,Food,Garnish restaurant on the ground is amazing! The owner is a very kind person and creative chef.
339,Off,"I’ll miss his breakfasts. In other words, I’ll stay here my next time in Larnaca for sure. No such thing."
342,Staff,Extremely friendly people work at La Veranda! they helped us in any possible way.
342,Off,thank you!
343,Staff,"great friendly staff, very welcoming, the owner took me personally to our room, and gave me a prime parking spot.
  he introduced us to his daughter who was learning the trade and she was super nice and helpful.
  couldn't have been more pleased"
343,Off,all good!
344,Location,Great location 5 min walk to beach
344,Staff,"And amenities , staff very good and helpful,"
344,Room,rooms were comfortable snd very clean
344,Off,Notting
345,Room,Very modern and clean
346,Room,Clean
346,Staff,and good communication.
346,Taxi-issue,Booked a taxi from the airport was a no show.
347,Off,"We picked up our hire care from the airport and within 10 minutes we had arrived. I was happy with everything, I rarely write reviews but this place deserves to do well."
347,Facility,A family run hotel.
347,Staff,Exceptional staff who were so friendly and keen to please.
347,Room,Rooms were also exceptional in their cleanliness and although compact had everything that you might need for your stay. I
347,Room,Rooms were also exceptional in their cleanliness and although compact
347,Location,Also only 10 minutes walk from beach and loads of restaurants.
348,Staff,"Staff and owners were very welcoming,"
348,Food,"breakfast was a typical Cypriot one,"
348,Facility,the inside is excellent compared to the view from outside
348,Facility,"not much parking around the property which was an apartment before being converted into this hotel, the inside is excellent compared to the view from outside"
348,Location,Aircraft noise does not bother me but the noise from aircraft landing and taking off may be an issue if you have young family or just want a quiet area
349,Staff,Very friendly and helpful staff.
349,Room,Clean rooms. Comfortable bed.
349,Location,Close to bus stop.
349,Room,Slight smell from toilet after night.
349,Location,Pretty far from major tourist spots.
350,Location,6 mins drive from the airport
350,Room,"Lovely clean room
  Comfortable bed"
350,Facility,Easy parking
350,Staff,Lovely helpful staff
350,Off,Nothing we didn’t like
351,Room,"Clean, modern room, with comfy bed and great air conditioning."
351,Location,Fab location Close to Mackenzie beach and bars.
352,Room,"Super clean, good beds."
353,Room,Very clean and comfy room with balcony
353,Facility,"Simple clear contemporary decoration, This hotel being new"
353,Location,Near the airport
353,Staff,Friendly staff.
353,Food,Healthy breakfast.
353,Room,Weak WiFi
353,Staff,"the staff , although very friendly , still needs to improve its organisation and collaboration"
353,Facility,Pool is very tiny.
353,Location,Far from centre town.
354,Staff,"Very nice staff,"
354,Room,very clean and a home-experience.
354,Off,Definitely recommend
355,Location,"We’ve chosen La Veranda as we had an early flight from Larnaka airport, There is a beach strip nearby with various restaurants for every taste"
355,Off,"and we enjoyed one night stay. we walked there, had cocktails in one place, and a dinner in another. and we were in the airport in no time at all."
355,Food,"Breakfast in the hotel was great,"
356,Staff,"The communication prior to arriving was brilliant. The staff at the hotel were friendly, polite and nothing was too much for them. Always willing to help in anyway which made our stay enjoyable."
356,Room,Extremely clean too.
357,Staff,"Staff is friendly,"
357,Facility,hotel is comfortable and clean
358,Location,Location close to airport
358,Off,N/a
360,Off,Everything!
361,Location,The location near Makanzie Beach6
362,Staff,"Excellent service, very kind and helpful staff,"
362,Room,the room with a balcony overlooking Makenzy and Salt Lake made an amazing impression.
362,Food,"I recommend the breakfasts, which are really delicious."
363,Staff,"The staff were exceptionally attentive to ensuring that our stay was pleasent. Hospitality was great,"
363,Off,highly recommend the hotel
364,Off,Enjoyed an excellent overnight stay before heading the the airport.
364,Location,Loads of bars and restaurants 5 mins walk away on the beach.
364,Staff,Really friendly and accomodating hosts.
365,Check-in,We arrived in the night and were checked-in quickly
365,Facility,"The hotel had been just renovated, very convenient for our short stay in Larnaka."
365,Off,"and slept well the rest of the night, next morning we were ready to continue our trip. Actually, it was a pity not to be able to stay longer. Next time."
366,Off,"Excellent Hotel.Is my 5th time that i stay in this hotel and i want to say that is better than a 5star hotel.
  Konstantinos Charalambous"
366,Food,"Especially,the chef of La Vernada Hotel is perfest,he made delicious breakfast,lunch and dinner and his food is better than a 5star hotel. and the prices of the food are very good and are not expensive.Absolutely fantastic hotel with an excellent chef that make this hotel perfect."
366,Price,"Moreover,the price of his hotel and the prices of the food are very good and are not expensive."
367,Staff,Friendly Staff.
367,Room,Nice room with comfortable beds and nice bathroom.
367,Location,Good choice for travelers in larnaca
368,Room,Clean
368,Location,and perfect location.
368,Off,Nothing.
369,Off,"Location and staff, But I think it was a special case and don't think that all hotel rooms has the same issue."
369,Food,The food was amazing at the restaurant
369,Room,Mostly the bathroom floor sink was closed with tapes and there was bugs under it.
370,Room,"Extremely clean, newly renovated, efficiently run,"
370,Location,good location from the airport and sea.
370,Off,Nothing
371,Staff,People working here are the best ever
371,Off,WiFi
373,Location,I stayed for a couple of nights so that I could quickly get to the airport.
373,Facility,"Cozy, clean hotel, Nice place,"
373,Staff,with wonderful staff.
373,Food,"Can also enjoy delicious breakfast, if desired."
373,Off,recommend
374,Location,Location is great.
374,Room,"Rooms were a great size, very clean, modern and comfy."
374,Facility,Pool could of been bigger
374,Off,but you’re right next to an amazing beach “mckenzie beach” so it didn’t matter.
375,Off,Richard is the chef at the hotel. Whether you stay at the hotel or not you should go to their restaurant for lunch or dinner or both. It will not disappoint and you will want to keep going back. This was my first stay at the hotel and I would gladly stay again. I highly recommend it.
375,Food,The food he creates is outstanding and delicious. Even the simplest of food ie. chicken burger and salad was made to taste exceptional. Richard cooks from the heart.
375,Facility,"Overall the hotel is well situated,"
375,Room,the rooms are stylish and the beds very comfortable.
375,Staff,The staff are helpful and friendly.
376,Facility,"It was very clean, very comfortable easily a 5 star hotel. Very welcoming,"
376,Location,5 minute walk to the beach.
376,Food,"The chef is incredible and very friendly, the kind of person who loves nothing more than you enjoying his food!"
377,Off,Everything was very good.
377,Staff,Staff very polite and helpful.
377,Room,Rooms are clean.
377,Food,Breakfast was delicious.
377,Location,"Hotel is near to the beach, airport and bus station."
378,Staff,The staff was very friendly.
378,Room,The room was very clean and comfortable.
378,Food,The food was delicious.
378,Off,Highly recommended.
379,Off,Stayed at hotel for 1 night before departure - everything was giod!
379,Staff,"were pleased by staff, Hotel administrator helped us with taxi."
379,Food,and got early breakfast as well as had nice evening in bar.
379,Room,"Clean rooms, comfortable beds -"
380,Staff,Very nice and helpful staff able to go an extra mile for your satisfaction. I was very satisfied with their service
380,Location,"This hotel has great location, because it is very close to the airport, beaches and entertainment."
380,Room,"Rooms vere very spacy, quiet, tidy with a modern design."
380,Food,Breakfasts were tasty!
380,Food,More options for breakfast.
380,Off,and I will surely come bact when I come to Larnaka.
381,Off,hotel was exactly what we needed.
381,Location,"great location,walking distance to the beach and close to the airport."
381,Facility,interior was clearly recently renovated.
381,Staff,staff was very friendly
383,Staff,Very friendly and helpful staff.
383,Facility,Clean facilities.
383,Food,Good breakfast
383,Off,Didn’t find anything negative
384,Facility,"Amazing hotel,"
384,Room,"new, clean,"
384,Staff,staff & management are great
384,Off,…highly recommended
385,Staff,Excellent service.
387,Off,"The rooms and and the staff, Nothing"
388,Staff,Very friendly and effective employees and owners.
388,Facility,Brand new fittings and furniture.
388,Location,Excellent location near the airport and the beach.
388,Room,Very clean and quite.
388,Off,I recommend it without any reservation. Nothing at all
389,Location,"Great location! Convenient to the airport and the beach. 5 minutes away from the airport and within walking distance to the beach, restaurants, and other amenities this is the place for you"
389,Staff,Professional and friendly staff.
389,Facility,"If you are looking to an affordable, clean hotel this is the place for you"
389,Off,Nothing
390,Staff,Very good service
391,Facility,it is recently renovated building
391,Room,therefore the rooms were nice and clean.
391,Location,Mackenzie Beach promenade is 5 min walk.
391,Location,close surroundings are not that exciting and clean
392,Location,"Nice location,"
392,Room,"excellent rooms,"
392,Staff,very friendly staff!
392,Off,Everything was perfect!
393,Room,"Very clean & modern,"
393,Staff,good customer service
393,Food,and restaurant/bar very reasonably priced and quality
394,Check-in,Check in was quick and easy
394,Staff,"Check in was quick and easy by polite, friendly hotel managers."
394,Food,Great service by Richard (bar manager).
394,Room,"Rooms very clean, good quality bed linen and towels, A/C, flat screen tv."
394,Location,"Located 7 minutes walk from beach, restaurants and supermarket. Airport 10 mins by taxi. Larnaca centre 10 mins by bus or about 30 mins walking."
394,Off,Highly recommend
396,Room,"Very clean, nice renovated rooms,"
396,Staff,staff was fantastic
396,Price,and price was great
396,Facility,"Need some renovation in lobby and common areas, as well as for the elevator.
  During night lights in common areas didn't work well."
397,Off,Everything was excellent
398,Room,"Very modern and clean. Netflix in room an unexpected surprise, No views"
398,Room,"Netflix in room an unexpected surprise, but beware, difficult to sign back out of your account!, No views, Room small. But I had the smallest I think."
398,Location,but a short walk to nice beach bars. Close to airport.
398,Off,Rebuke is v good.
399,Staff,Amazing staff. I met the owners at the reception and they took care of my girl
399,Room,and the room was clean and ready by 12 to check in.
399,Check-in,and the room was clean and ready by 12 to check in.
399,Off,and she was very happy with her stay
401,Room,The room was fresh and clean.
401,Staff,Friendly staff.
401,Off,Highly recommended.
402,Off,"Amazing stay, Will definitely come back again. Much recommended"
402,Location,near Mackenzie Beach just 2 min walk.
402,Staff,"The staff is superb,"
402,Room,clean and spacious rooms.
404,Off,All was good
404,Room,A bit small rooms
407,Room,"Nice modern bedroom,"
407,Food,nice greek breakfast
407,Location,"and hotel great location,"
407,Off,shame i only stayed one night
409,Facility,This hotel was excellent and exceeded all my expectations.
409,Food,"The restaurant had delicious food, the service was incredible,"
409,Room,rooms were to a very high standard and clean.
409,Staff,"I am very pleased to stay here and grateful for the staff, they have been helpful, kind and professional."
409,Off,I highly recommend this hotel.
410,Off,If I could give more than a rating of 10 I would. Rebuke lounge at the beach is worth visiting for the quality of food and decor. We didn’t take advantage of the pool in the hotel only because we ran out of time but on another trip we would have done so.
410,Location,"The location is amazing. Being close to the airport in Larnaka makes travelling easier. Also being right next to the Salt Lake is a must-see especially if there is a good sunset. 
  Within a 10 minute walk you can be on MacKenzie beach which is well maintained and cleaner than other beaches we seen in Larnaka. The hotel is next to a bus stop for travelling between downtown and other locations. Very handy since we didn’t hire a car."
410,Staff,"The staff make this hotel great. They are friendly, warm, helpful. Always willing to do more to make the guest have a better stay."
410,Room,"The recently renovated room is about as clean as it could be. The facilities are modern and new. The shower is amazing for couples to use together. The balcony is a nice addition to an already fresh, well presented room. 
  The double bed is extremely comfortable and the new bedding was a delight. It is hard to get a comfortable sheet to sleep with in a country as warm as Cyprus but we were happy with everything offered by the hotel. 
  The minibar was extremely reasonably priced and well stocked. 
  Aircon perfect, easy to use. 
  Wifi great when we used it."
410,Facility,The front of the hotel is an extremely nice place to unwind in the evening.
410,Room,Minor point: a bar for hanging clothes in the room was the only thing we felt was missing to improve our stay.
411,Off,perfect
412,Room,"Superbly refurbished, with high-tech displays “clean/DnD” outside."
412,Facility,Taller people be careful of doorway leading to elevator - being 190 i head-bumped…
413,Off,"The bed, the customer service"
414,Staff,"Great staff,"
414,Room,"very clean and modern rooms,"
414,Price,great value
416,Off,We liked everything! Will visit again for sure! Just an amazing place.
416,Staff,The staff and hosts were great!
416,Facility,Quiet place! Pet friendly!
416,Price,Value for money!
417,Location,Close to airport - just 7-10 min by taxi (15€).
417,Room,"Clean, fresh rooms with all you need for overnight stay."
417,Staff,Very friendly staff.
419,Off,Everything. Highly recommend. Nothing
419,Staff,"Very friendly and helpful staff,"
419,Room,"comfortable rooms,"
419,Location,great location.
420,Location,A LITTLE BIT FAR FROM SEA
421,Off,"My stay was fantastic, Definitely will be back! I wish I stayed longer!"
421,Location,"steps to Makenzy beach, cafés, and restaurants. Easy access to nightlife."
421,Facility,The building is very clean and made for a comfortable stay.
421,Staff,The staff made me feel welcome and was very helpful when asking about things to do.
422,Facility,"This hotel is very new and completely renovated. It’s spotless clean, comfortable. Free parking,"
422,Staff,and very good service from the family that owns it. We felt very welcome.
422,Room,he room is completely new and very clean. The mini bar was really well equipped and very cheap.
422,Location,close to the city and very accessible by any transportation.
423,Off,I had a wonderful experience at La Veranda hotel. Nothing
423,Staff,Staff was amazing and very welcoming.
423,Room,Rooms are so clean and comfortable with variety of snacks at very affordable price.
423,Location,Walking distance from the beach and very easy access to public transportation
424,Room,Family room that fits a family of five.
424,Food,Fantastic breakfast.
424,Location,Close to jogging trails along the lake and close to the airport.
424,Staff,Plus a super friendly staff.
425,Room,The room sizes were excellent for the wheelchair.
425,Facility,"The hotel was airy and light.
  The hotel was nice and very clean."
425,Off,It was the reason why I booked (the reviews).
425,Location,It was great accessibility to where we wanted to be.
425,Food,The breakfast could have had more variety. They had no cereal on offer at all. They had no ordinary tea on offer. It was al Earl Grey. No proper plan tea.
425,Facility,This hotel is accessible to wheelchairs but there ramps are not to EU regulations. VERY STEEP. They really need to sort this. The ramp right outside is very dangerous. I am surprised I wasn't wheeled of this ramp.
426,Off,I Didn't eat at hotel .
426,Room,comfortable bed lovely soft duvet and pillows.good shower
426,Location,2 times noise in week 4 a.m from people picking rubbish into large lorries .
427,Room,spotlessly clean
427,Staff,and the staff were so helpful.
427,Location,it was not on the beach front as we were under the impression it was.
428,Room,very clean
428,Room,not enough pillows
429,Location,Quiet location.
429,Room,Bed was very soft and uncomfortable for me.
429,Facility,Parking was very limited.
430,Off,"Everything was pretty good, and as expected"
430,Room,"Windows should be closed, as the front building looks right into your room."
431,Room,The room was large and had a nice balcony.
431,Location,The bus stop into town was around the corner.
431,Location,There was nothing close by for a mini Mart.
431,Food,The restaurant was decent.
432,Room,Clean and comfortable. Cute balconies.
432,Location,Short walk to Mckenzie beach.
432,Facility,Street parking.
433,Staff,"I really liked how polite and friendly the staff was,"
433,Room,I also liked the size of the room an the bed
433,Off,"There are various things I would love to see improved, listed here:"
433,Room,"- the shower of our room is very inconviniently placed, making a mess because of insufficient coverage of the bathroom glass
  - the edges of the shower (between wall tiles and the shower floor) need replacement - they are hollow and seem moldy
  - the bin is rusty
  - the mirror is weirdly placed, on the right of the sink
  - due to the placement of the curtains, a lot of light gets in the room in the morning"
433,Facility,"there is no designated parking, you just park wherever you find"
433,Staff,"- we have requested late check out (1pm) which we got and we appreciate it. However, we got a call that prompted us to check out at the normal time (12pm) as the next customers would arrive. I exllained thay we have been granted late check out and the clerk apologised. No problem for this, but I find it important to keep staff updated about these things."
434,Location,Near to the airport
434,Room,There was some kind of unpleasant smell in the bathroom
435,Location,close to the airports
435,Price,this is a guesthouse that is priced like a hotel
436,Staff,Maria and Richard are really great hosts! Very kind and hospitable. Maria has offered an adapter immediately.
436,Room,The room was perfectly clean.
436,Location,"This is a good transitioning for one night, like I had. Or just to sleep over.
  Central location."
436,Room,"Size of the room is one of the smallest I have ever seen. There is no space for the suitcase nor a wardrobe. No sitting area.
  There is a terrace which Sun hits all the time,"
436,Price,For that money for which I used to pay better hotels in Valencia you get one small water bottle.
437,Room,"It was clean, the beds were comfortable."
437,Price,For what you get it was a bit expensive.
437,Room,The rooms were a bit small for a suite.
437,Food,No breakfast included. We tried it one time at their restaurant and it was low quality compared to an original greek breakfast.
437,Off,Didn't eat there again.
438,Staff,Very friendly people.
438,Room,Very spacious and clean room.
438,Location,Very close to the Larnaka airport as we needed it to be.
438,Room,"The duvet was for the winter and even with 23 degrees Celsius on the a/c it was unbearable!
  No simple sheets on the bed either...we could not open the windows because it was very very noisy. 
  Also the windows had no soundproofing whatsoever because the noise was too much!! Also the room had a hair dryer and a kettle that we could not use because the plugs did not fit the sockets and the hotel didn't provide adaptors...So no use of that service in the room either!"
439,Location,Usefully located hotel in between city centre and airport.
439,Food,Restaurant stayed open reasonably late so I could eat after an evening arrival in Cyprus.
439,Food,Restaurant was offering a rather narrow set of choices compared to what was listed on the menu.
439,Room,Room quite small.
440,Staff,Friendly Staff!
440,Room,Very modern rooms
440,Room,"Bath room was cleaned rather superficially, so that medium nice with hair not being removed."
441,Food,"Break fast was PERFECT,"
441,Room,the room was PERFECT.
441,Facility,Some issues with internet
441,Location,"Some issues with internet and location, bit far from the center,"
441,Location,but very quite Area around.
441,Room,Cold floor in the room :-)
442,Food,Breakfast was very filling. It was located on the table in front of us (funny question).
442,Room,Room was a little cold.
442,Facility,The hotel hadn’t yet opened up for the season.
442,Location,It was a little hard to find.
443,Room,"clean room,"
443,Staff,friendly staff
443,Facility,"off season, so no bar / restaurant/ pool, which was not clear on booking."
444,Room,nice and very clean.
444,Staff,that they couldn’t wait for 15min as i had just fractured my ankle and need to change my bandage and the Lady of the house was literally standing next to the door with a cleaner to clean the room. so i left without changing my bandage and had to do it outside on the street.
