ID,Topic,Selected Content,Answer
232,Location,"Great location for a late flight,",Positive
232,Room,everything was clean and nice in the room.,Positive
232,Check-in,We arrived late and got great instructions on how to get in on our own.,Positive
232,Food,"Terrific late breakfast at the café downstairs, the manager catered to our every need",Positive
232,Price,Great for the price and our purpose of a late night flight arrival,Positive
232,Off,Nothing.,Off
233,Facility,"Beautiful property, super clean,",Positive
233,Room,rooms where really spacious and fresh and clean.,Positive
233,Food,Breakfast was amazing in a beautiful setting and the management are wonderful. a little far from local shop but have everything we need in the cafe.,Positive
233,Location,a little far from local shop but have everything we need in the cafe.,Negative
233,Off,liked everything,Off
234,Location,"great location for bars, restaurants and beach",Positive
234,Price,at a very good rate for the excellent standard of accommodation,Positive
234,Off,nothing all good,Off
235,Location,Great location,Positive
235,Staff,"with very welcoming staff,",Positive
235,Room,and very clean,Positive
236,Facility,Modern hotel with good facilities.,Positive
236,Room,"Although small, the room was comfortable. However, the bathroom was a good size and well appointed.",Positive
236,Food,Breakfast as an extra was good.,Positive
236,Location,"The hotel is about 100m from the 425 bus route which runs to the airport, about 10 minutes away.",Positive
236,Off,"A ticket costs 2 Euros, a far better option than paying 15 Euros for a taxi, Nothing",Off
237,Room,clean and comfortable,Positive
238,Location,close to the airport,Positive
238,Room,"stingy smell from the bathroom
  quite small room",Negative
239,Room,Light and airy and clean room.,Positive
239,Location,Not far from the sea.,Positive
239,Facility,There should be a safety strip on the step to each floor coming up the stairs. You are unaware of it and could possibly trip as I did.,Negative
240,Staff,Thank you so much for a very warm welcome and comfortable stay. The hotel manager was reachable at all times due to my flight times and further delays. I couldn't have asked for more informative and reassuring service. 5 star service!,Positive
240,Room,Thank you so much for a very warm welcome and comfortable stay. Most importantly it is very clean!,Positive
240,Location,The location is very nice of this hotel due to such close proximity to the beach and restaurants.,Positive
240,Off,"All in all, awesome!, Nothing",Off
241,Room,spacious room and minifridge; large bathroom; very clean and comfy bed and lovely little balcony;,Positive
241,Staff,staff was very friendly and lend me an adaptor several times.,Positive
241,Location,i didnt want to be in the center so for me the location was perfect! walking distance to airport and close to the more luxurious beach strip with delicious restaurants.,Positive
241,Room,"for the price that it was, it only had some random unlabeled shampoo dispenser attached to the shower wall. dont know if it was body or hair shampoo but it wasnt very nice at all,",Negative
241,Price,"for the price that it was, it only had some random unlabeled shampoo dispenser attached to the shower wall. dont know if it was body or hair shampoo but it wasnt very nice at all, and seemed a little cheap considering the hotel cost.",Negative
242,Room,"Very clean, comfortable and pleasant!",Positive
242,Staff,The staff were very accommodating and kind.,Positive
242,Off,"We will definitely come again! highly recommended!, nothing!",Positive
243,Facility,Very modern clean beautifully kept hotel,Positive
243,Location,near beaches and restaurants,Positive
243,Off,All good,Off
244,Off,nothing,Off
246,Staff,The owners were very friendly and helpful.,Positive
246,Facility,"The hotel is small, which we liked,",Positive
246,Location,and is about 10 minutes from the airport.,Positive
246,Room,"The rooms were a nice size, very clean, and modern. We had both a family room and a double room, and they were perfect for our quick stay.",Positive
246,Location,"The taxi driver had a hard time finding it to drop us off, as it’s amongst several apartment buildings on a small side street. That’s the only negative. The location is a bit hard to find. The taxi drivers GPS had trouble finding it, but eventually we did. It’s amongst several apartment buildings on a small side street.",Negative
246,Food,"We also had dinner there, and the food was very good and the chef was very friendly.",Positive
246,Off,We’ll stay again if we travel to Larnaca in the future.,Off
247,Room,cleanliness,Positive
247,Off,very good location,Positive
248,Off,"Absolutely everything was great!!!!!!!!!, I didn't want to leave my room!! Also thank you for taxi, it arrived right in time!",Positive
248,Staff,"Staff super kind, professional, polite and helpful.",Positive
248,Room,"Bed was soooooooo comfortable,",Positive
248,Room,"Lack of decent TV channels, only in the evening (past 9 pm) you can actually find something to watch. There are only ~10 channels, half in Greek and half in Russian, and maybe one or two in English (in the evenings)",Negative
249,Off,All,Off
251,Staff,friendly staff,Positive
252,Room,Exceptionally clean and brand new.,Positive
252,Facility,Exceptionally clean and brand new.,Positive
252,Food,Breakfast was freshly made and delicious.,Positive
252,Staff,Everyone very friendly,Positive
254,Facility,Wonderful modern family run small hotel.,Positive
254,Location,It’s very close to the airport which worked for us.,Positive
254,Room,"The rooms are spotless, the shower fantastic. The pictures are very true to life.",Positive
254,Staff,The family were so helpful.,Positive
256,Room,clean and modern,Positive
256,Off,nothing,Off
257,Facility,"Very modern, clean hotel",Positive
257,Location,"Great location, quiet",Positive
257,Staff,Lovely staff,Positive
259,Location,excellent location near airport then easy drive into larnaca.,Positive
259,Staff,very friendly and helpful staff.,Positive
259,Room,only thing was the bathroom floor got wet from the shower and became very slippery. needs two foot towels rather than just one.,Negative
260,Staff,"Friendly staff,",Positive
260,Food,delicious breakfast.,Positive
260,Room,Very comfortable beds.,Positive
260,Location,10 mins walk to Mackenzie Beach and 40 mins (3 km) walk to downtown on a nice promenade.,Positive
262,Room,"Clean, We slept well in a comfy clean bed",Positive
262,Staff,"great attentive staff, The staff could not be more helpful and showed us to a really nice room with a balcony over the front of the hotel, before they arranged a car for us to get back to the airport to collect our hire car.",Positive
262,Location,The hotel was close to the airport - 6 minutes by taxi (€20) - and we arrived late.,Positive
262,Food,and had a terrific breakfast on the terrace,Positive
262,Off,"location.
  We booked the hotel to facilitate a stop over due to a late flight into Larnaca before travelling onto our holiday villa. What a pleasant surprise, Nice start to our holiday highly recommenced, Nothing",Off
263,Room,room was big enough with comfy beds for family of four; liked having a small balcony for outdoor space.,Positive
264,Staff,Friendly staff.,Positive
264,Room,clean and comfortable beds.,Positive
266,Room,it’s clean,Positive
266,Staff,and very nice crew,Positive
267,Staff,Helpful staff arranged a taxi for us from the airport to the hotel.,Positive
267,Facility,The hotel was basic but clean and comfortable.,Positive
268,Facility,La Veranda has been recently refurbished,Positive
268,Room,"and the rooms and bathroom, were both modern and comfortable, balcony with sea view.",Positive
268,Location,Easy walk to Mackenzie Beach and short journey from airport.,Positive
268,Food,"Good breakfast available if required,",Positive
268,Staff,staff extremely helpful and friendly.,Positive
268,Off,"Nothing to much trouble, Nothing really.",Off
270,Facility,It was easy at the time to park car outside.,Positive
270,Room,"Clean rooms,",Positive
270,Staff,helpful staff.,Positive
271,Location,Location very convenient. Near the beach and the Restaurants. Public Bus station at 30 meters from the hotel. Also very close to the airport.,Positive
272,Facility,La Veranda Hotel is very comfortable and clean.,Positive
272,Staff,The staff is very nice,Positive
272,Food,The Breakfast is so delicious,Positive
272,Location,Great location !! Near Mackenzie beach and very close to the center.,Positive
272,Off,"I highly recommend, Nothing. All was great",Off
273,Off,"It's my second time at La Veranda and I can honestly say that this is one of the best hotels in the region, if not the best. Would definitely recommend it!",Off
274,Off,"I had a wonderful experience at the La Veranda Hotel., Thank you! Will recommend to my colleagues!",Off
274,Staff,"Every staff member I encountered, from the valet to the check- in to the cleaning staff were delightful and eager to help!",Positive
275,Room,"The rooms were clean, very comfortable,",Positive
275,Staff,and the staff was amazing. They went over and beyond to help make my stay enjoyable.,Positive
275,Off,I highly recommend this hotel for anyone visiting downtown!!,Off
277,Staff,"The staff is always very helpful, exceptional!",Positive
277,Room,"Wanted to have in the shower shampoo, body soap and hair conditioner. The staff explained that the dispancer in the shower holds 3 in 1. Really?!",Negative
278,Staff,"The staff were wonderful, so friendly and welcoming",Positive
278,Food,and the food was superb.,Positive
278,Facility,The hotel was clean,Positive
278,Location,and easy for the airport.,Positive
279,Facility,The hotel is in a residential neighborhood of apartments and is modern.,Positive
279,Room,The bed linens were wonderful and the mattress was neither too hard or soft.,Positive
279,Food,Breakfast is not included in the hotel cost. (no menu - you get whatever is served).,Negative
279,Food,"However, there is small restaurant within the hotel lobby that charged $10 euros for a very nice hot breakfast",Positive
279,Location,The hotel is in a residential neighborhood of apartments and is modern. The hotel is approx 10 minute drive from the airport and 20 minute drive from the historical area.,Positive
281,Location,This hotel is in a great location for the airport and restaurants.,Positive
281,Staff,"The owner and staff are so welcoming and helpful. Taking time to print off flight documentation, booking taxis and even when my flight was cancelled, I was able to keep my room for longer without a problem.",Positive
282,Facility,"Very nice hotel,",Positive
282,Location,"close to the beach, but situated in a quiet place",Positive
282,Staff,"Helpful, friendly staff.",Positive
282,Food,Tasty breakfast.,Positive
284,Facility,"La Veranda was very clean, and was flexible with our schedule.",Positive
284,Room,"provided everything needed (even a bottle of water in the room!),",Positive
284,Staff,The staff was excellent.,Positive
284,Location,"There are a series of delicious and fun restaurants on the beach quite close to the hotel, which the staff of the hotel kindly told us about.",Positive
284,Room,The view from the rooms,Negative
285,Facility,Clean and nice place,Positive
285,Room,It takes too long hot water to reach tap/shower in the room,Negative
286,Location,Very convenient location for arriving at the airport.,Positive
287,Room,"Very clean, nice bed and linen.",Positive
287,Price,Good value.,Positive
287,Facility,Allowed to take dog was the reason for booking.,Positive
287,Room,Some smell from bathroom/water.,Negative
288,Facility,Boutique hotel,Positive
288,Location,"Boutique hotel in the quiet area, Only few kilometers from the airport but quite distant from the city center. On the other hand - close to salt lake to have opportunity to watch flamings.",Positive
288,Location,but quite distant from the city center.,Negative
288,Staff,Staff was friendly and helpful,Positive
288,Food,"Good, tasty breakfest.",Positive
291,Staff,Friendly staff,Positive
291,Room,Very clean and cozy,Positive
291,Location,Close to the airport,Positive
294,Room,clean basic,Positive
294,Off,it was ok,Off
296,Room,TV CHANNELS TO BE FIXED :),Negative
297,Facility,recently refurbished and very clean!,Positive
297,Room,recently refurbished and very clean!,Positive
298,Location,location is good you can take bus 425 from the airport to somewhere close enough to the hotel.,Positive
298,Staff,stuff were super nice!,Positive
298,Room,"room is spacious and clean, bed is comfy too.",Positive
299,Off,I had a great experience staying at La Veranda hotel right from start till the end.,Off
299,Staff,"The staff was very welcoming and friendly,",Positive
299,Room,"the room is just as in the pictures; newly renovated, fully functional and most importantly comfortable and clean.",Positive
299,Location,"The hotel's location is convenient. Very easy to catch public transportations, many café around and close to the center.",Positive
300,Off,"My stay at this hotel was a great experience and would definitely come back with my family, Highly recommended!",Positive
300,Staff,"The staff was so helpful, friendly and welcoming. My one night stay felt like home!",Positive
300,Location,"Great location very close to the airport, 1 minute walk to the bus station, beach and restaurants.",Positive
300,Room,"The room was very clean and spacious. The mini bar was rich and very well priced,",Positive
300,Food,even breakfast was presentable and tasty!,Positive
300,Facility,It was cold for a swim:),Negative
301,Facility,"Christmas vibes, nice ambiance.",Positive
301,Staff,Staff make you feel at home.,Positive
301,Location,Quiet area.,Positive
301,Off,everything was perfect. definitely will come back.,Positive
302,Room,It was very clean.,Positive
303,Staff,"Very welcoming couple, helpful, and happy to help for any situation or question.",Positive
303,Off,"I managed to remote work from the room and balcony, that was pleasant.
  Would definitely come again!",Off
304,Room,"What i liked most about the hotel is the room, bed sheets and toilet are super clean. Bed is very comfortable.",Positive
304,Location,"On top of that, the hotel is less than a minute away on foot from the bus station. 
  The city is nice, a lot of restaurants, bars and shops in the area. And of course lots and lots of beach shores to relax at, one of which you can get on foot for less than 5 minutes.",Positive
304,Staff,"The staff was nice, they gave me recommendations on what places to visit and how to roam around.",Positive
304,Off,The weather was a bit cold.,Off
305,Staff,"First off, the staff. They have been so accommodating and easy to deal with and have gone above and beyond to help us out.",Positive
305,Food,all the restaurants were closed. Richard was amazing and whipped us up an excellent pizza even though they were long since closed.,Positive
305,Off,"We had a delayed flight that landed hours late and when we arrived,",Off
306,Facility,"Good place ,",Positive
306,Staff,"excellent stuff,",Positive
306,Off,we will come back,Positive
307,Facility,"The modern, nice hotel,",Positive
307,Location,accommodation for one night before departure.,Positive
307,Staff,The hotel arranged a taxi to the airport for 15 €,Positive
308,Staff,Wonderful people on reception and in the restaurant :) always smiling and glad to help,Positive
308,Facility,"it was soo nice and cosy, made me feel welcome from the first moment of arrival",Positive
308,Off,Nothing :),Off
309,Staff,The management/husband and wife/were fantastic as were all the staff!,Positive
311,Room,"Very clean, Nice freshly decorated rooms.",Positive
311,Staff,"staff very welcoming and helpful, quick response when asking about bringing them.",Positive
311,Facility,"Pet friendly hotel, highly recommended we had no extra charge for our dogs,",Positive
311,Off,Nothing.,Off
312,Facility,"the place was very clean, and everything was very clean.",Positive
312,Staff,and there’s an incredibly kind and helpful staff. they were very flexible about our strange schedule.,Positive
312,Food,food was delicious,Positive
312,Location,the airport is very close and the beach is a five minute walk away.,Positive
312,Facility,the pool is tiny,Negative
312,Room,and the bathrooms can smell like bad plumbing.,Negative
313,Staff,Super friendly staff.,Positive
313,Facility,"Nicely renovated and clean hotel, Quiet street with sufficient parking facilities.",Positive
313,Location,Quiet street with sufficient parking facilities.,Positive
313,Price,Fantastic value for money.,Positive
314,Facility,"fresh just renovated, with good wifi,",Positive
314,Location,"in 5 minutes from airport,",Positive
314,Check-in,super fast checkin/checkout,Positive
314,Check-out,super fast checkin/checkout,Positive
315,Room,it’s was exceptionally clean,Positive
315,Staff,and staff all very friendly,Positive
316,Location,Perfect location to McKenzie Beach and only a 30 minute walk to the central marina.,Positive
316,Staff,Everyone was very accommodating and welcoming.,Positive
316,Room,A nice addition to the very clean and tidy room is Netflix.,Positive
316,Off,"I have no reason to complain, everything was great!",Off
317,Off,"Did not have breakfast. Left too early., Nothing",Off
318,Staff,Staff were very friendly and extremely helpful.,Positive
318,Facility,"A lovely family hotel, refurbished during the main Corona period.",Positive
318,Location,In a quiet area 10 minutes from Larnaca airport. Only 6 minutes walk down to the beach & restaurants.,Positive
318,Room,"Refurbishment not totally complete, so safety box wasn’t working., so could do with one more double hook in bathroom for towels.",Negative
318,Off,"Our room was a family suite (for 4 people),",Off
319,Off,I stayed for one night as I arrived late at night at Larnaca Airport and was going to another city (Limassol) the next day.,Off
319,Staff,"The receptionist was waiting for me to arrive, even though it was after the usual open hours.",Positive
319,Room,"The room was very clean, a bit small though, but the bathroom was spacious and the bed was comfortable.",Positive
319,Room,"The room was very clean, a bit small though,",Negative
320,Off,"location, room",Off
321,Room,Well organised and clean,Positive
322,Facility,"Excellent everything., The place was clean, spacious and really nice.",Positive
322,Staff,"We got there early, around 10 am and they had our room ready.",Positive
322,Location,It was a pleasant walk to the sea,Positive
322,Location,but there was not much else to do close by.,Negative
322,Food,More restaurants.,Negative
323,Location,"I stayed in this hotel (twice) because of the location to the airport., It is a 10 minute walk to Makenzie Beach and those restaurants, but it also has a nice patio restaurant for a meal or cocktail.",Positive
323,Room,"But, I found it be clean, modern, comfortable, but they have nice amenities (fridge, coffee making, AC, nice balcony) and are spotless and comfortable.",Positive
323,Price,and great value for money.,Positive
323,Room,"The rooms are a bit small,",Negative
323,Staff,The staff is nice and it's very welcoming.,Positive
323,Off,location - if you want to be in the center of everything (I didn't),Off
324,Room,"Room was excellent, very clean and everything seems fairly new.",Positive
324,Staff,Staff was very helpful.,Positive
324,Location,"Location is also very good if you have a morning flight, airport is a 7 min drive away.",Positive
324,Room,"The noise from the hallway was very loud, the doors are not sound proofed at all and we couldn't sleep because of the noise that was coming around 11, 12, 1 AM.",Negative
326,Room,Clean and freshly renovated room,Positive
327,Off,This Hotel was perfect for us because we arrived late at night with the intention to get some rest before we continued our journey. I would rate him 10/10 for sure!,Off
327,Location,It’s location was ideal for the purpose of our stay because it’s close to the Larnaca AirPort.,Positive
327,Staff,The host of the Hotel was so kind and helpful. Always a smile on his face with great energy and amazing hospitality making sure we had a great stay.,Positive
328,Room,"Everything was very clean, the bed was comfortable, spacious bathroom.",Positive
328,Location,The beach is very close and the bus to the airport is only 50 meters away.,Positive
328,Room,"The room was a bit cramped, but we could fit. It may have been a unique case, but a rather disturbing odor of sewage came out of the drains.",Negative
328,Location,but a rather disturbing odor of sewage came out of the drains. The smell could be felt on the street that day as well.,Negative
330,Staff,The staff was exceptional. They were really customer-centric and kind.,Positive
330,Food,The breakfast was really delicious too 😊,Positive
330,Off,Nothing. It was perfect,Off
332,Staff,"The staff was super nice!
  We needed a taxi for the airport and they've helped us book it for a really good price (better than everything we've seen online).",Positive
332,Room,"The room was really clean and the bed was comfortable,",Positive
332,Room,"The wifi in the room wasn't great. We had to work that day so we needed a strong wifi,",Negative
332,Location,but there is a Cafe Nero 10 minutes away which was perfect.,Positive
333,Food,Breakfast was exceptional,Positive
333,Room,Size of room was a bit small,Negative
334,Room,"Absolutely clean, Ultimate hygiene. Very clean .",Positive
334,Staff,"and friendly staff., Staff and owners very friendly and helpful .",Positive
334,Price,Very economic .,Positive
334,Location,Location is great .,Positive
334,Off,"Definitely a place to come again if came to larnaca, Nothing",Off
335,Room,"A modern, clean, friendly",Positive
335,Staff,friendly,Positive
335,Facility,and all you need for a great Holiday.,Positive
336,Staff,Exceptionally friendly and helpful.,Positive
336,Room,Tastefully decorated room and super comfy bed.,Positive
336,Food,Dinner and breakfast were freshly made and very tasty.,Positive
336,Off,Couldn’t fault it at all,Positive
338,Staff,The family running this hotel are very friendly and welcoming! They gave us a free room upgrade.,Positive
338,Facility,The building and the hotel are brand new. Spotlessly clean.,Positive
338,Location,"Walking distance to the beach, restaurants and shops. It is away from traffic.",Positive
338,Room,Fully stocked minibar with coffee and tea-making facilities.,Positive
338,Price,Value for money.,Positive
338,Room,On the 4th floor with all the windows and balcony doors locked we could still hear some outside noise.,Negative
338,Off,"We will stay again! Tip: If you like sleeping in the dark, bring a sleeping mask and/or some blu tack to secure the curtains in place.,",Off
339,Facility,It’s definitely one of the best accommodations I’ve ever been in. Very friendly and comfortable atmosphere.,Positive
339,Room,"Everything was just good:
  Clean rooms, cleaning every day; Strong wi-fi at any time;",Positive
339,Staff,Great staff and very pleasant hosts;,Positive
339,Food,Garnish restaurant on the ground is amazing! The owner is a very kind person and creative chef.,Positive
339,Off,"I’ll miss his breakfasts. In other words, I’ll stay here my next time in Larnaca for sure. No such thing.",Off
342,Staff,Extremely friendly people work at La Veranda! they helped us in any possible way.,Positive
342,Off,thank you!,Off
343,Staff,"great friendly staff, very welcoming, the owner took me personally to our room, and gave me a prime parking spot.
  he introduced us to his daughter who was learning the trade and she was super nice and helpful.
  couldn't have been more pleased",Positive
343,Off,all good!,Off
344,Location,Great location 5 min walk to beach,Positive
344,Staff,"And amenities , staff very good and helpful,",Positive
344,Room,rooms were comfortable snd very clean,Positive
344,Off,Notting,Off
345,Room,Very modern and clean,Positive
346,Room,Clean,Positive
346,Staff,and good communication.,Positive
346,Taxi-issue,Booked a taxi from the airport was a no show.,Negative
347,Off,"We picked up our hire care from the airport and within 10 minutes we had arrived. I was happy with everything, I rarely write reviews but this place deserves to do well.",Off
347,Facility,A family run hotel.,Positive
347,Staff,Exceptional staff who were so friendly and keen to please.,Positive
347,Room,Rooms were also exceptional in their cleanliness and although compact had everything that you might need for your stay. I,Positive
347,Room,Rooms were also exceptional in their cleanliness and although compact,Negative
347,Location,Also only 10 minutes walk from beach and loads of restaurants.,Positive
348,Staff,"Staff and owners were very welcoming,",Positive
348,Food,"breakfast was a typical Cypriot one,",Positive
348,Facility,the inside is excellent compared to the view from outside,Positive
348,Facility,"not much parking around the property which was an apartment before being converted into this hotel, the inside is excellent compared to the view from outside",Negative
348,Location,Aircraft noise does not bother me but the noise from aircraft landing and taking off may be an issue if you have young family or just want a quiet area,Negative
349,Staff,Very friendly and helpful staff.,Positive
349,Room,Clean rooms. Comfortable bed.,Positive
349,Location,Close to bus stop.,Positive
349,Room,Slight smell from toilet after night.,Negative
349,Location,Pretty far from major tourist spots.,Negative
350,Location,6 mins drive from the airport,Positive
350,Room,"Lovely clean room
  Comfortable bed",Positive
350,Facility,Easy parking,Positive
350,Staff,Lovely helpful staff,Positive
350,Off,Nothing we didn’t like,Off
351,Room,"Clean, modern room, with comfy bed and great air conditioning.",Positive
351,Location,Fab location Close to Mackenzie beach and bars.,Positive
352,Room,"Super clean, good beds.",Positive
353,Room,Very clean and comfy room with balcony,Positive
353,Facility,"Simple clear contemporary decoration, This hotel being new",Positive
353,Location,Near the airport,Positive
353,Staff,Friendly staff.,Positive
353,Food,Healthy breakfast.,Positive
353,Room,Weak WiFi,Negative
353,Staff,"the staff , although very friendly , still needs to improve its organisation and collaboration",Negative
353,Facility,Pool is very tiny.,Negative
353,Location,Far from centre town.,Negative
354,Staff,"Very nice staff,",Positive
354,Room,very clean and a home-experience.,Positive
354,Off,Definitely recommend,Off
355,Location,"We’ve chosen La Veranda as we had an early flight from Larnaka airport, There is a beach strip nearby with various restaurants for every taste",Positive
355,Off,"and we enjoyed one night stay. we walked there, had cocktails in one place, and a dinner in another. and we were in the airport in no time at all.",Positive
355,Food,"Breakfast in the hotel was great,",Positive
356,Staff,"The communication prior to arriving was brilliant. The staff at the hotel were friendly, polite and nothing was too much for them. Always willing to help in anyway which made our stay enjoyable.",Positive
356,Room,Extremely clean too.,Positive
357,Staff,"Staff is friendly,",Positive
357,Facility,hotel is comfortable and clean,Positive
358,Location,Location close to airport,Positive
358,Off,N/a,Off
360,Off,Everything!,Off
361,Location,The location near Makanzie Beach6,Positive
362,Staff,"Excellent service, very kind and helpful staff,",Positive
362,Room,the room with a balcony overlooking Makenzy and Salt Lake made an amazing impression.,Positive
362,Food,"I recommend the breakfasts, which are really delicious.",Positive
363,Staff,"The staff were exceptionally attentive to ensuring that our stay was pleasent. Hospitality was great,",Positive
363,Off,highly recommend the hotel,Positive
364,Off,Enjoyed an excellent overnight stay before heading the the airport.,Positive
364,Location,Loads of bars and restaurants 5 mins walk away on the beach.,Positive
364,Staff,Really friendly and accomodating hosts.,Positive
365,Check-in,We arrived in the night and were checked-in quickly,Positive
365,Facility,"The hotel had been just renovated, very convenient for our short stay in Larnaka.",Positive
365,Off,"and slept well the rest of the night, next morning we were ready to continue our trip. Actually, it was a pity not to be able to stay longer. Next time.",Off
366,Off,"Excellent Hotel.Is my 5th time that i stay in this hotel and i want to say that is better than a 5star hotel.
  Konstantinos Charalambous",Off
366,Food,"Especially,the chef of La Vernada Hotel is perfest,he made delicious breakfast,lunch and dinner and his food is better than a 5star hotel. and the prices of the food are very good and are not expensive.Absolutely fantastic hotel with an excellent chef that make this hotel perfect.",Positive
366,Price,"Moreover,the price of his hotel and the prices of the food are very good and are not expensive.",Positive
367,Staff,Friendly Staff.,Positive
367,Room,Nice room with comfortable beds and nice bathroom.,Positive
367,Location,Good choice for travelers in larnaca,Positive
368,Room,Clean,Positive
368,Location,and perfect location.,Positive
368,Off,Nothing.,Off
369,Off,"Location and staff, But I think it was a special case and don't think that all hotel rooms has the same issue.",Off
369,Food,The food was amazing at the restaurant,Positive
369,Room,Mostly the bathroom floor sink was closed with tapes and there was bugs under it.,Negative
370,Room,"Extremely clean, newly renovated, efficiently run,",Positive
370,Location,good location from the airport and sea.,Positive
370,Off,Nothing,Off
371,Staff,People working here are the best ever,Positive
371,Off,WiFi,Off
373,Location,I stayed for a couple of nights so that I could quickly get to the airport.,Positive
373,Facility,"Cozy, clean hotel, Nice place,",Positive
373,Staff,with wonderful staff.,Positive
373,Food,"Can also enjoy delicious breakfast, if desired.",Positive
373,Off,recommend,Off
374,Location,Location is great.,Positive
374,Room,"Rooms were a great size, very clean, modern and comfy.",Positive
374,Facility,Pool could of been bigger,Negative
374,Off,but you’re right next to an amazing beach “mckenzie beach” so it didn’t matter.,Off
375,Off,Richard is the chef at the hotel. Whether you stay at the hotel or not you should go to their restaurant for lunch or dinner or both. It will not disappoint and you will want to keep going back. This was my first stay at the hotel and I would gladly stay again. I highly recommend it.,Off
375,Food,The food he creates is outstanding and delicious. Even the simplest of food ie. chicken burger and salad was made to taste exceptional. Richard cooks from the heart.,Positive
375,Facility,"Overall the hotel is well situated,",Positive
375,Room,the rooms are stylish and the beds very comfortable.,Positive
375,Staff,The staff are helpful and friendly.,Positive
376,Facility,"It was very clean, very comfortable easily a 5 star hotel. Very welcoming,",Positive
376,Location,5 minute walk to the beach.,Positive
376,Food,"The chef is incredible and very friendly, the kind of person who loves nothing more than you enjoying his food!",Positive
377,Off,Everything was very good.,Positive
377,Staff,Staff very polite and helpful.,Positive
377,Room,Rooms are clean.,Positive
377,Food,Breakfast was delicious.,Positive
377,Location,"Hotel is near to the beach, airport and bus station.",Positive
378,Staff,The staff was very friendly.,Positive
378,Room,The room was very clean and comfortable.,Positive
378,Food,The food was delicious.,Positive
378,Off,Highly recommended.,Positive
379,Off,Stayed at hotel for 1 night before departure - everything was giod!,Positive
379,Staff,"were pleased by staff, Hotel administrator helped us with taxi.",Positive
379,Food,and got early breakfast as well as had nice evening in bar.,Positive
379,Room,"Clean rooms, comfortable beds -",Positive
380,Staff,Very nice and helpful staff able to go an extra mile for your satisfaction. I was very satisfied with their service,Positive
380,Location,"This hotel has great location, because it is very close to the airport, beaches and entertainment.",Positive
380,Room,"Rooms vere very spacy, quiet, tidy with a modern design.",Positive
380,Food,Breakfasts were tasty!,Positive
380,Food,More options for breakfast.,Negative
380,Off,and I will surely come bact when I come to Larnaka.,Off
381,Off,hotel was exactly what we needed.,Off
381,Location,"great location,walking distance to the beach and close to the airport.",Positive
381,Facility,interior was clearly recently renovated.,Positive
381,Staff,staff was very friendly,Positive
383,Staff,Very friendly and helpful staff.,Positive
383,Facility,Clean facilities.,Positive
383,Food,Good breakfast,Positive
383,Off,Didn’t find anything negative,Positive
384,Facility,"Amazing hotel,",Positive
384,Room,"new, clean,",Positive
384,Staff,staff & management are great,Positive
384,Off,…highly recommended,Positive
385,Staff,Excellent service.,Positive
387,Off,"The rooms and and the staff, Nothing",Off
388,Staff,Very friendly and effective employees and owners.,Positive
388,Facility,Brand new fittings and furniture.,Positive
388,Location,Excellent location near the airport and the beach.,Positive
388,Room,Very clean and quite.,Positive
388,Off,I recommend it without any reservation. Nothing at all,Positive
389,Location,"Great location! Convenient to the airport and the beach. 5 minutes away from the airport and within walking distance to the beach, restaurants, and other amenities this is the place for you",Positive
389,Staff,Professional and friendly staff.,Positive
389,Facility,"If you are looking to an affordable, clean hotel this is the place for you",Positive
389,Off,Nothing,Off
390,Staff,Very good service,Positive
391,Facility,it is recently renovated building,Positive
391,Room,therefore the rooms were nice and clean.,Positive
391,Location,Mackenzie Beach promenade is 5 min walk.,Positive
391,Location,close surroundings are not that exciting and clean,Negative
392,Location,"Nice location,",Positive
392,Room,"excellent rooms,",Positive
392,Staff,very friendly staff!,Positive
392,Off,Everything was perfect!,Positive
393,Room,"Very clean & modern,",Positive
393,Staff,good customer service,Positive
393,Food,and restaurant/bar very reasonably priced and quality,Positive
394,Check-in,Check in was quick and easy,Positive
394,Staff,"Check in was quick and easy by polite, friendly hotel managers.",Positive
394,Food,Great service by Richard (bar manager).,Positive
394,Room,"Rooms very clean, good quality bed linen and towels, A/C, flat screen tv.",Positive
394,Location,"Located 7 minutes walk from beach, restaurants and supermarket. Airport 10 mins by taxi. Larnaca centre 10 mins by bus or about 30 mins walking.",Positive
394,Off,Highly recommend,Positive
396,Room,"Very clean, nice renovated rooms,",Positive
396,Staff,staff was fantastic,Positive
396,Price,and price was great,Positive
396,Facility,"Need some renovation in lobby and common areas, as well as for the elevator.
  During night lights in common areas didn't work well.",Negative
397,Off,Everything was excellent,Off
398,Room,"Very modern and clean. Netflix in room an unexpected surprise, No views",Positive
398,Room,"Netflix in room an unexpected surprise, but beware, difficult to sign back out of your account!, No views, Room small. But I had the smallest I think.",Negative
398,Location,but a short walk to nice beach bars. Close to airport.,Positive
398,Off,Rebuke is v good.,Off
399,Staff,Amazing staff. I met the owners at the reception and they took care of my girl,Positive
399,Room,and the room was clean and ready by 12 to check in.,Positive
399,Check-in,and the room was clean and ready by 12 to check in.,Positive
399,Off,and she was very happy with her stay,Positive
401,Room,The room was fresh and clean.,Positive
401,Staff,Friendly staff.,Positive
401,Off,Highly recommended.,Off
402,Off,"Amazing stay, Will definitely come back again. Much recommended",Off
402,Location,near Mackenzie Beach just 2 min walk.,Positive
402,Staff,"The staff is superb,",Positive
402,Room,clean and spacious rooms.,Positive
404,Off,All was good,Off
404,Room,A bit small rooms,Negative
